# sector size     filename
00001611 00008100 \BG\ER221.TIM
00001622 00008200 \BG\ER222.TIM
00001633 00004100 \BG\ER22H.TIM
0000163C 00008100 \BG\ER291.TIM
0000164D 00008200 \BG\ER292.TIM
0000165E 00004100 \BG\ER29H.TIM
00001667 00008100 \BG\ER2F.TIM
00001678 00008100 \BG\ER311.TIM
00001689 00008100 \BG\ER312.TIM
0000169A 00004100 \BG\ER31H.TIM
000016A3 00008300 \BG\ER321.TIM
000016B4 00008200 \BG\ER322.TIM
000016C5 00004200 \BG\ER32H.TIM
000016CE 00008100 \BG\ER331.TIM
000016DF 00008100 \BG\ER332.TIM
000016F0 00004100 \BG\ER33H.TIM
000016F9 00004100 \BG\ER34H.TIM
00001702 00008100 \BG\ER3F.TIM
00001713 0000F800 \BG\ERFB00.IPD
00001732 00005C00 \BG\ERFBFC.IPD
0000173E 0000B700 \BG\ERFBFD.IPD
00001755 00006A00 \BG\ERFBFE.IPD
00001763 0000AB00 \BG\ERFBFF.IPD
00001779 00013700 \BG\ERFC00.IPD
000017A0 00005700 \BG\ERFC01.IPD
000017AB 00005700 \BG\ERFCFC.IPD
000017B6 00004000 \BG\ERFCFD.IPD
000017BE 00002B00 \BG\ERFCFE.IPD
000017C4 00004E00 \BG\ERFCFF.IPD
000017CE 00009700 \BG\ERFD00.IPD
000017E1 00007300 \BG\ERFD01.IPD
000017F0 00009E00 \BG\ERFDFC.IPD
00001804 00008D00 \BG\ERFDFD.IPD
00001816 00003000 \BG\ERFDFE.IPD
0000181C 00002700 \BG\ERFDFF.IPD
00001821 0000A900 \BG\ERFE00.IPD
00001837 0000A000 \BG\ERFE01.IPD
0000184B 0000D800 \BG\ERFEFC.IPD
00001866 0000B300 \BG\ERFEFD.IPD
0000187D 00002A00 \BG\ERFEFE.IPD
00001883 00006B00 \BG\ERFEFF.IPD
00001891 00007F00 \BG\ERFF00.IPD
000018A1 00009B00 \BG\ERFF01.IPD
000018B5 00007F00 \BG\ERFFFC.IPD
