# sector size     filename
00001ECF 00008200 \BG\THR83GAF.TIM
00001EE0 00008200 \BG\THR83H2F.TIM
00001EF1 00008200 \BG\THR83HMF.TIM
00001F02 00008200 \BG\THR8401F.TIM
00001F13 00008200 \BG\THR8501F.TIM
00001F24 00008200 \BG\THR8601F.TIM
00001F35 00008200 \BG\THR9001F.TIM
00001F46 00004100 \BG\THR9002H.TIM
00001F4F 00008100 \BG\THR9101F.TIM
00001F60 00008100 \BG\THR9401F.TIM
00001F71 00004100 \BG\THR9401H.TIM
00001F7A 00008200 \BG\THR9501F.TIM
00001F8B 00008100 \BG\THR9601F.TIM
00001F9C 00008200 \BG\THR9701F.TIM
00001FAD 00008100 \BG\THR9801F.TIM
00001FBE 00008200 \BG\THR9901F.TIM
00001FCF 00008200 \BG\THRA001F.TIM
00001FE0 00008100 \BG\THRA101F.TIM
00001FF1 00004300 \BG\THRA102H.TIM
00001FFA 00008300 \BG\THRA201F.TIM
0000200B 00008200 \BG\THRA301F.TIM
0000201C 00004200 \BG\THRA301H.TIM
00002025 00008100 \BG\THRA401F.TIM
00002036 00004100 \BG\THRA401H.TIM
0000203F 00008200 \BG\THRA501F.TIM
00002050 00008200 \BG\THRA601F.TIM
00002061 00004200 \BG\THRA601H.TIM
0000206A 00008300 \BG\THRA701F.TIM
0000207B 00008200 \BG\THRA801F.TIM
0000208C 00004100 \BG\THRA801H.TIM
00002095 00008200 \BG\THRA901F.TIM
000020A6 00008200 \BG\THRB101F.TIM
000020B7 00004200 \BG\THRB102H.TIM
000020C0 00008200 \BG\THRB401F.TIM
000020D1 00008300 \BG\THRB501F.TIM
000020E2 00004200 \BG\THRB502H.TIM
000020EB 00008200 \BG\THRB601F.TIM
000020FC 00008200 \BG\THRB701F.TIM
0000210D 00008100 \BG\THRC101F.TIM
0000211E 00008200 \BG\THRCF1.TIM
0000212F 00008200 \BG\THRCF2.TIM
00002140 00008200 \BG\THRCF3.TIM
00002151 00008100 \BG\THRCF4.TIM
00002162 00008200 \BG\THRCT21F.TIM
00002173 00008200 \BG\THRCT22F.TIM
00002184 00004200 \BG\THRCT23F.TIM
0000218D 00004200 \BG\THRCT23H.TIM
00002196 00008200 \BG\THRCT31F.TIM
000021A7 00008200 \BG\THRCT32F.TIM
000021B8 00008300 \BG\THRDR1F.TIM
000021C9 00004100 \BG\THRDR1H.TIM
000021D2 00008100 \BG\THRDR2F.TIM
000021E3 00006D00 \BG\THRF8FB.IPD
000021F1 0000A100 \BG\THRF900.IPD
00002206 00009000 \BG\THRF901.IPD
00002218 00009800 \BG\THRF902.IPD
0000222B 00007900 \BG\THRF903.IPD
0000223B 0000AF00 \BG\THRF905.IPD
00002251 0000AB00 \BG\THRF906.IPD
00002267 00003600 \BG\THRF908.IPD
0000226E 0000AD00 \BG\THRF9FA.IPD
00002284 0000B000 \BG\THRF9FB.IPD
0000229A 00008F00 \BG\THRF9FC.IPD
000022AC 0000B000 \BG\THRF9FD.IPD
000022C2 00008C00 \BG\THRF9FE.IPD
000022D4 00009D00 \BG\THRF9FF.IPD
000022E8 0000A000 \BG\THRFA00.IPD
000022FC 0000A800 \BG\THRFA01.IPD
00002311 00009F00 \BG\THRFA02.IPD
00002325 0000A200 \BG\THRFA03.IPD
0000233A 0000AF00 \BG\THRFAFA.IPD
00002350 0000AC00 \BG\THRFAFB.IPD
